counrty,timeid,cases
India,1,0.0
India,2,80290.0
India,3,233150.0
India,4,556649.0
India,5,1468936.0
India,6,2240844.0
India,7,2238079.0
India,8,1441354.0
India,9,1056453.0
India,10,614565.0
India,11,383948.0
India,12,462164.0
India,13,2639280.0
India,14,9927615.0
India,15,4904648.0
India,16,1303913.0
India,17,1115679.0
