stateid,timeid,cases
LD,15,4668.0
LD,16,800.0
LD,17,249.0
MH,1,0.0
MH,2,27509.0
MH,3,80438.0
MH,4,159646.0
MH,5,304672.0
MH,6,504966.0
MH,7,476268.0
MH,8,190279.0
MH,9,140088.0
MH,10,110416.0
MH,11,83641.0
MH,12,250135.0
MH,13,1263790.0
MH,14,1731055.0
MH,15,607906.0
MH,16,271491.0
MH,17,213088.0
ML,1,0.0
ML,2,13.0
ML,3,30.0
ML,4,133.0
ML,5,1060.0
ML,6,2652.0
ML,7,4189.0
ML,8,2646.0
ML,9,2309.0
ML,10,751.0
ML,11,257.0
ML,12,56.0
ML,13,490.0
ML,14,7720.0
ML,15,20106.0
ML,16,13331.0
ML,17,15748.0
MN,1,0.0
MN,2,0.0
MN,3,0.0
MN,4,0.0
MN,5,0.0
MN,6,0.0
MN,7,0.0
MN,8,0.0
MN,9,0.0
MN,10,0.0
MN,11,0.0
MN,12,0.0
MN,13,0.0
MN,14,0.0
MN,15,0.0
MN,16,0.0
MN,17,0.0
MP,1,0.0
MP,2,4430.0
MP,3,6379.0
MP,4,8203.0
MP,5,24409.0
MP,6,47336.0
MP,7,64546.0
MP,8,27781.0
MP,9,41579.0
MP,10,25801.0
MP,11,7217.0
MP,12,10951.0
MP,13,94758.0
MP,14,353356.0
MP,15,71717.0
MP,16,1805.0
MP,17,409.0
MZ,1,0.0
MZ,2,1.0
MZ,3,120.0
MZ,4,126.0
MZ,5,422.0
MZ,6,775.0
MZ,7,784.0
MZ,8,1156.0
MZ,9,684.0
MZ,10,271.0
MZ,11,82.0
MZ,12,44.0
MZ,13,249.0
MZ,14,3692.0
MZ,15,6992.0
MZ,16,9808.0
MZ,17,22846.0
NL,1,0.0
NL,2,0.0
NL,3,255.0
NL,4,693.0
NL,5,2431.0
NL,6,1892.0
NL,7,2202.0
NL,8,2499.0
NL,9,1978.0
NL,10,307.0
NL,11,154.0
NL,12,36.0
NL,13,215.0
NL,14,5091.0
NL,15,6224.0
NL,16,2496.0
NL,17,2848.0
OR,1,0.0
OR,2,672.0
OR,3,3091.0
OR,4,10520.0
OR,5,40350.0
OR,6,99120.0
OR,7,99067.0
OR,8,47266.0
OR,9,15833.0
OR,10,8490.0
OR,11,3372.0
OR,12,1980.0
OR,13,16613.0
OR,14,226271.0
OR,15,261253.0
OR,16,87109.0
OR,17,45059.0
PB,1,0.0
PB,2,1937.0
PB,3,1237.0
PB,4,5376.0
PB,5,20529.0
PB,6,53138.0
PB,7,43804.0
PB,8,14866.0
PB,9,20062.0
PB,10,9305.0
PB,11,6369.0
PB,12,21459.0
PB,13,84755.0
PB,14,201479.0
PB,15,104541.0
PB,16,9411.0
PB,17,2002.0
PY,1,0.0
PY,2,16.0
PY,3,178.0
PY,4,1337.0
PY,5,5465.0
PY,6,13231.0
PY,7,12019.0
PY,8,4054.0
PY,9,1215.0
PY,10,1054.0
PY,11,894.0
PY,12,582.0
PY,13,5419.0
PY,14,35498.0
PY,15,31890.0
PY,16,6465.0
PY,17,2901.0
RJ,1,0.0
RJ,2,4423.0
RJ,3,8094.0
RJ,4,12770.0
RJ,5,33068.0
RJ,6,45446.0
RJ,7,61102.0
RJ,8,58393.0
RJ,9,68906.0
RJ,10,21833.0
RJ,11,4551.0
RJ,12,4046.0
RJ,13,58323.0
RJ,14,454522.0
RJ,15,114147.0
RJ,16,3263.0
RJ,17,701.0
TN,1,0.0
TN,2,9685.0
TN,3,34565.0
TN,4,102164.0
TN,5,178362.0
TN,6,182054.0
TN,7,161790.0
TN,8,85980.0
TN,9,43625.0
TN,10,28907.0
TN,11,16163.0
TN,12,14650.0
TN,13,95172.0
TN,14,576407.0
TN,15,835115.0
TN,16,180307.0
TN,17,60467.0
TR,1,0.0
TR,2,156.0
TR,3,926.0
TR,4,1107.0
TR,5,4599.0
TR,6,12402.0
TR,7,9672.0
TR,8,3060.0
TR,9,1129.0
TR,10,273.0
TR,11,34.0
TR,12,76.0
TR,13,415.0
TR,14,5762.0
TR,15,19715.0
TR,16,12552.0
TR,17,9244.0
UP,1,0.0
UP,2,3956.0
UP,3,9755.0
UP,4,26153.0
UP,5,105654.0
UP,6,172060.0
UP,7,127699.0
UP,8,65613.0
UP,9,57025.0
UP,10,29044.0
UP,11,7416.0
UP,12,3157.0
UP,13,138879.0
UP,14,852847.0
UP,15,107397.0
UP,16,5552.0
UP,17,1531.0
UT,1,0.0
UT,2,79.0
UT,3,1746.0
UT,4,1868.0
UT,5,7929.0
UT,6,21436.0
UT,7,23103.0
UT,8,11932.0
UT,9,15004.0
UT,10,11318.0
UT,11,2496.0
UT,12,1382.0
UT,13,16218.0
UT,14,163561.0
UT,15,59922.0
UT,16,4132.0
UT,17,1265.0
WB,1,0.0
WB,2,2362.0
WB,3,8665.0
WB,4,21751.0
WB,5,77520.0
WB,6,95561.0
WB,7,99778.0
WB,8,122801.0
WB,9,95131.0
WB,10,39846.0
WB,11,9120.0
WB,12,5752.0
WB,13,51769.0
WB,14,464686.0
WB,15,369974.0
WB,16,49932.0
WB,17,23182.0
