districtid,timeid,cases
AP_Anantapur,1,156771.0
AP_Chittoor,1,234871.0
AP_East Godavari,1,282389.0
AP_Guntur,1,170493.0
AP_Krishna,1,111599.0
AP_Kurnool,1,123572.0
AP_Prakasam,1,131787.0
AP_S.P.S. Nellore,1,137357.0
AP_Srikakulam,1,121390.0
AP_Visakhapatnam,1,153698.0
AP_Vizianagaram,1,81776.0
AP_West Godavari,1,171987.0
AP_Y.S.R. Kadapa,1,111606.0
AR_Anjaw,1,995.0
AR_Changlang,1,3657.0
AR_East Kameng,1,1079.0
AR_East Siang,1,2963.0
AR_Kamle,1,478.0
AR_Kra Daadi,1,260.0
AR_Kurung Kumey,1,512.0
AR_Lepa Rada,1,792.0
AR_Lohit,1,2689.0
AR_Longding,1,731.0
AR_Lower Dibang Valley,1,2168.0
AR_Lower Siang,1,709.0
AR_Lower Subansiri,1,2647.0
AR_Namsai,1,1970.0
AR_Pakke Kessang,1,396.0
AR_Papum Pare,1,17303.0
AR_Shi Yomi,1,225.0
AR_Siang,1,393.0
AR_Tawang,1,2300.0
AR_Tirap,1,1008.0
AR_Upper Dibang Valley,1,297.0
AR_Upper Siang,1,896.0
AR_Upper Subansiri,1,1914.0
AR_West Kameng,1,3208.0
AR_West Siang,1,1769.0
AS_Dibrugarh,1,0.0
AS_Udalguri,1,0.0
BR_Araria,1,14963.0
BR_Arwal,1,7381.0
BR_Aurangabad,1,20010.0
BR_Banka,1,7379.0
BR_Begusarai,1,27184.0
BR_Bhagalpur,1,25827.0
BR_Bhojpur,1,10177.0
BR_Buxar,1,9249.0
BR_Darbhanga,1,10908.0
BR_East Champaran,1,19000.0
BR_Gaya,1,33943.0
BR_Gopalganj,1,16673.0
BR_Jamui,1,9415.0
BR_Jehanabad,1,10801.0
BR_Kaimur,1,4985.0
BR_Katihar,1,18129.0
BR_Khagaria,1,10059.0
BR_Kishanganj,1,10107.0
BR_Lakhisarai,1,7772.0
BR_Madhepura,1,12523.0
BR_Madhubani,1,18340.0
BR_Munger,1,15102.0
BR_Muzaffarpur,1,31382.0
BR_Nalanda,1,23424.0
BR_Nawada,1,10345.0
BR_Patna,1,146846.0
BR_Purnia,1,24415.0
BR_Rohtas,1,13962.0
BR_Saharsa,1,17593.0
BR_Samastipur,1,19988.0
BR_Saran,1,23267.0
BR_Sheikhpura,1,7690.0
BR_Sheohar,1,4397.0
BR_Sitamarhi,1,9179.0
BR_Siwan,1,15195.0
BR_Supaul,1,17205.0
BR_Vaishali,1,19809.0
BR_West Champaran,1,20886.0
CH_Chandigarh,1,62028.0
CT_Balod,1,27280.0
CT_Baloda Bazar,1,43010.0
CT_Balrampur,1,20281.0
CT_Bametara,1,19946.0
CT_Bastar,1,20953.0
CT_Bijapur,1,8269.0
CT_Bilaspur,1,65471.0
CT_Dakshin Bastar Dantewada,1,10755.0
CT_Dhamtari,1,27567.0
CT_Durg,1,96657.0
CT_Gariaband,1,19673.0
CT_Gaurela Pendra Marwahi,1,12006.0
CT_Janjgir Champa,1,57463.0
CT_Jashpur,1,27004.0
CT_Kabeerdham,1,22771.0
CT_Kondagaon,1,13072.0
CT_Korba,1,54598.0
CT_Koriya,1,26927.0
CT_Mahasamund,1,31325.0
CT_Mungeli,1,23900.0
CT_Narayanpur,1,4008.0
CT_Raigarh,1,62487.0
CT_Raipur,1,160708.0
CT_Rajnandgaon,1,56014.0
CT_Sukma,1,7975.0
CT_Surajpur,1,29017.0
CT_Surguja,1,33781.0
CT_Uttar Bastar Kanker,1,23542.0
DL_Delhi,1,1437038.0
DN_Dadra and Nagar Haveli,1,5905.0
DN_Daman,1,3536.0
DN_Diu,1,1218.0
GJ_Ahmedabad,1,238044.0
GJ_Amreli,1,10806.0
GJ_Anand,1,9624.0
GJ_Aravalli,1,5184.0
GJ_Banaskantha,1,13631.0
GJ_Bharuch,1,11429.0
GJ_Bhavnagar,1,21413.0
GJ_Botad,1,2218.0
GJ_Chhota Udaipur,1,3395.0
GJ_Dahod,1,9944.0
GJ_Dang,1,864.0
GJ_Devbhumi Dwarka,1,4173.0
GJ_Gandhinagar,1,20741.0
GJ_Gir Somnath,1,8557.0
GJ_Jamnagar,1,34951.0
GJ_Junagadh,1,20470.0
GJ_Kheda,1,10432.0
GJ_Kutch,1,12594.0
GJ_Mahisagar,1,8429.0
GJ_Mehsana,1,24414.0
GJ_Morbi,1,6506.0
GJ_Narmada,1,5952.0
GJ_Navsari,1,7156.0
GJ_Panchmahal,1,11770.0
GJ_Patan,1,11624.0
GJ_Porbandar,1,3477.0
GJ_Rajkot,1,57925.0
GJ_Sabarkantha,1,9314.0
GJ_Surat,1,143502.0
GJ_Surendranagar,1,8124.0
GJ_Tapi,1,4442.0
GJ_Vadodara,1,77924.0
GJ_Valsad,1,6244.0
HP_Bilaspur,1,13165.0
HP_Chamba,1,12993.0
HP_Hamirpur,1,14883.0
HP_Kangra,1,46992.0
HP_Kinnaur,1,3348.0
HP_Kullu,1,9321.0
HP_Lahaul and Spiti,1,2829.0
HP_Mandi,1,28890.0
HP_Shimla,1,26157.0
HP_Sirmaur,1,15404.0
HP_Solan,1,22476.0
HP_Una,1,13503.0
HR_Ambala,1,30105.0
HR_Bhiwani,1,22395.0
HR_Charkhi Dadri,1,5069.0
HR_Faridabad,1,99808.0
HR_Fatehabad,1,17861.0
HR_Gurugram,1,180992.0
HR_Hisar,1,53979.0
HR_Jhajjar,1,18829.0
HR_Jind,1,21204.0
HR_Kaithal,1,11218.0
HR_Karnal,1,40000.0
HR_Kurukshetra,1,22116.0
HR_Mahendragarh,1,21687.0
HR_Nuh,1,5011.0
HR_Palwal,1,10984.0
HR_Panchkula,1,30658.0
HR_Panipat,1,31135.0
HR_Rewari,1,20304.0
HR_Rohtak,1,25879.0
HR_Sirsa,1,29257.0
HR_Sonipat,1,47126.0
HR_Yamunanagar,1,24571.0
JH_Bokaro,1,19415.0
JH_Chatra,1,6028.0
JH_Deoghar,1,10806.0
JH_Dhanbad,1,16519.0
JH_Dumka,1,4638.0
JH_East Singhbhum,1,51789.0
JH_Garhwa,1,6885.0
JH_Giridih,1,8960.0
JH_Godda,1,5836.0
JH_Gumla,1,9901.0
JH_Hazaribagh,1,19582.0
JH_Jamtara,1,5555.0
JH_Khunti,1,7787.0
JH_Koderma,1,12876.0
JH_Latehar,1,7865.0
JH_Lohardaga,1,6691.0
JH_Pakur,1,2550.0
JH_Palamu,1,12289.0
JH_Ramgarh,1,13901.0
JH_Ranchi,1,85490.0
JH_Sahibganj,1,4818.0
JH_Saraikela-Kharsawan,1,7224.0
JH_Simdega,1,7192.0
JH_West Singhbhum,1,13004.0
JK_Anantnag,1,16374.0
JK_Bandipora,1,9552.0
JK_Baramulla,1,23756.0
JK_Budgam,1,23013.0
JK_Doda,1,7405.0
JK_Ganderbal,1,10015.0
JK_Jammu,1,52907.0
JK_Kathua,1,9274.0
JK_Kishtwar,1,4707.0
JK_Kulgam,1,11327.0
JK_Kupwara,1,14151.0
JK_Pulwama,1,15256.0
JK_Punch,1,6289.0
JK_Rajouri,1,11023.0
JK_Ramban,1,5996.0
JK_Reasi,1,6424.0
JK_Samba,1,7138.0
JK_Shopiyan,1,5592.0
JK_Srinagar,1,71794.0
JK_Udhampur,1,11365.0
KA_Bagalkote,1,35136.0
KA_Ballari,1,97511.0
KA_Belagavi,1,78762.0
KA_Bengaluru Rural,1,61271.0
KA_Bengaluru Urban,1,1232597.0
KA_Bidar,1,24284.0
KA_Chamarajanagara,1,32638.0
