districtid,timeid,dose1,dose2
AR_Lohit,3,2166.0,634.0
AR_Lohit,4,3171.0,968.0
AR_Lohit,5,3895.0,55.0
AR_Lohit,6,12351.0,1767.0
AR_Lohit,7,4521.0,2905.0
AR_Longding,1,509.0,64.0
AR_Longding,2,1050.0,184.0
AR_Longding,3,1429.0,742.0
AR_Longding,4,1758.0,614.0
AR_Longding,5,3758.0,140.0
AR_Longding,6,7626.0,370.0
AR_Longding,7,2421.0,1207.0
AR_Lower Dibang Valley,1,225.0,0.0
AR_Lower Dibang Valley,2,1252.0,278.0
AR_Lower Dibang Valley,3,3590.0,992.0
AR_Lower Dibang Valley,4,3807.0,1267.0
AR_Lower Dibang Valley,5,3541.0,45.0
AR_Lower Dibang Valley,6,13632.0,2974.0
AR_Lower Dibang Valley,7,3679.0,2546.0
AR_Lower Siang,1,296.0,117.0
AR_Lower Siang,2,433.0,171.0
AR_Lower Siang,3,1037.0,361.0
AR_Lower Siang,4,2715.0,438.0
AR_Lower Siang,5,1882.0,18.0
AR_Lower Siang,6,5832.0,1189.0
AR_Lower Siang,7,3505.0,2273.0
AR_Lower Subansiri,1,781.0,250.0
AR_Lower Subansiri,2,924.0,445.0
AR_Lower Subansiri,3,3553.0,853.0
AR_Lower Subansiri,4,2947.0,2505.0
AR_Lower Subansiri,5,5136.0,12.0
AR_Lower Subansiri,6,8186.0,1297.0
AR_Lower Subansiri,7,3333.0,2789.0
AR_Namsai,1,859.0,87.0
AR_Namsai,2,2136.0,762.0
AR_Namsai,3,3779.0,1201.0
AR_Namsai,4,7946.0,2457.0
AR_Namsai,5,7459.0,33.0
AR_Namsai,6,29603.0,2311.0
AR_Namsai,7,6074.0,5756.0
AR_Pakke Kessang,1,248.0,0.0
AR_Pakke Kessang,2,575.0,163.0
AR_Pakke Kessang,3,1091.0,363.0
AR_Pakke Kessang,4,1785.0,817.0
AR_Pakke Kessang,5,1086.0,50.0
AR_Pakke Kessang,6,1590.0,527.0
AR_Pakke Kessang,7,1421.0,1064.0
AR_Papum Pare,1,2401.0,154.0
AR_Papum Pare,2,4234.0,1546.0
AR_Papum Pare,3,11726.0,3361.0
AR_Papum Pare,4,22346.0,7021.0
AR_Papum Pare,5,35305.0,123.0
AR_Papum Pare,6,32279.0,8361.0
AR_Papum Pare,7,15018.0,17755.0
AR_Shi Yomi,1,225.0,0.0
AR_Shi Yomi,2,283.0,250.0
AR_Shi Yomi,3,1050.0,267.0
AR_Shi Yomi,4,748.0,909.0
AR_Shi Yomi,5,699.0,9.0
AR_Shi Yomi,6,2935.0,178.0
AR_Shi Yomi,7,795.0,685.0
AR_Siang,1,263.0,0.0
AR_Siang,2,383.0,192.0
AR_Siang,3,2615.0,245.0
AR_Siang,4,1416.0,1027.0
AR_Siang,5,1108.0,113.0
AR_Siang,6,6394.0,1535.0
AR_Siang,7,1710.0,1161.0
AR_Tawang,1,877.0,85.0
AR_Tawang,2,2153.0,746.0
AR_Tawang,3,3535.0,1290.0
AR_Tawang,4,3372.0,2195.0
AR_Tawang,5,6017.0,31.0
AR_Tawang,6,9483.0,1910.0
AR_Tawang,7,2582.0,2993.0
AR_Tirap,1,701.0,0.0
AR_Tirap,2,1716.0,531.0
AR_Tirap,3,1273.0,1133.0
AR_Tirap,4,2019.0,872.0
AR_Tirap,5,5539.0,68.0
AR_Tirap,6,14592.0,852.0
AR_Tirap,7,3219.0,2177.0
AR_Upper Dibang Valley,1,162.0,0.0
AR_Upper Dibang Valley,2,563.0,162.0
AR_Upper Dibang Valley,3,595.0,354.0
AR_Upper Dibang Valley,4,367.0,376.0
AR_Upper Dibang Valley,5,425.0,11.0
AR_Upper Dibang Valley,6,1440.0,138.0
AR_Upper Dibang Valley,7,439.0,209.0
AR_Upper Siang,1,531.0,94.0
AR_Upper Siang,2,504.0,381.0
AR_Upper Siang,3,3282.0,417.0
AR_Upper Siang,4,2741.0,1772.0
AR_Upper Siang,5,2591.0,13.0
AR_Upper Siang,6,5359.0,1642.0
AR_Upper Siang,7,2527.0,2039.0
AR_Upper Subansiri,1,252.0,12.0
AR_Upper Subansiri,2,516.0,130.0
AR_Upper Subansiri,3,2797.0,524.0
AR_Upper Subansiri,4,5068.0,2408.0
AR_Upper Subansiri,5,5495.0,58.0
AR_Upper Subansiri,6,4112.0,867.0
AR_Upper Subansiri,7,4859.0,3268.0
AR_West Kameng,1,1066.0,304.0
AR_West Kameng,2,4939.0,592.0
AR_West Kameng,3,6415.0,3136.0
AR_West Kameng,4,3990.0,3065.0
AR_West Kameng,5,7384.0,96.0
AR_West Kameng,6,18696.0,3312.0
AR_West Kameng,7,7923.0,3596.0
AR_West Siang,1,1135.0,150.0
AR_West Siang,2,1861.0,828.0
AR_West Siang,3,5572.0,1141.0
AR_West Siang,4,4122.0,2047.0
AR_West Siang,5,4033.0,53.0
AR_West Siang,6,13484.0,4493.0
AR_West Siang,7,2940.0,3664.0
AS_Biswanath,1,2011.0,60.0
AS_Biswanath,2,6687.0,1467.0
AS_Biswanath,3,12955.0,3240.0
AS_Biswanath,4,32198.0,10012.0
AS_Biswanath,5,30137.0,3770.0
AS_Biswanath,6,105762.0,8003.0
AS_Biswanath,7,152323.0,24374.0
AS_Bongaigaon,1,2288.0,96.0
AS_Bongaigaon,2,13849.0,1696.0
AS_Bongaigaon,3,19861.0,6707.0
AS_Bongaigaon,4,26965.0,13969.0
AS_Bongaigaon,5,25624.0,2579.0
AS_Bongaigaon,6,70023.0,10036.0
AS_Bongaigaon,7,111083.0,22024.0
AS_Cachar,1,7125.0,81.0
AS_Cachar,2,15917.0,4219.0
AS_Cachar,3,27260.0,10238.0
AS_Cachar,4,53224.0,15976.0
AS_Cachar,5,104990.0,8274.0
AS_Cachar,6,162287.0,22172.0
AS_Cachar,7,118241.0,40340.0
AS_Charaideo,1,1438.0,56.0
AS_Charaideo,2,2740.0,1184.0
AS_Charaideo,3,12101.0,2098.0
AS_Charaideo,4,18778.0,5883.0
AS_Charaideo,5,17944.0,1038.0
AS_Charaideo,6,43420.0,7369.0
AS_Charaideo,7,103490.0,14056.0
AS_Chirang,1,1236.0,37.0
AS_Chirang,2,7585.0,1136.0
AS_Chirang,3,6046.0,5154.0
AS_Chirang,4,18208.0,5804.0
AS_Chirang,5,14137.0,3055.0
AS_Chirang,6,42913.0,5816.0
AS_Chirang,7,62005.0,12137.0
AS_Darrang,1,3254.0,106.0
AS_Darrang,2,14208.0,2126.0
AS_Darrang,3,16784.0,6187.0
AS_Darrang,4,35127.0,13178.0
AS_Darrang,5,32781.0,3382.0
AS_Darrang,6,72128.0,8797.0
AS_Darrang,7,106474.0,24007.0
AS_Dhemaji,1,3110.0,75.0
AS_Dhemaji,2,7215.0,1734.0
AS_Dhemaji,3,21783.0,3812.0
AS_Dhemaji,4,33670.0,11748.0
AS_Dhemaji,5,26262.0,4025.0
AS_Dhemaji,6,89418.0,7434.0
AS_Dhemaji,7,97774.0,27627.0
AS_Dhubri,1,3263.0,198.0
AS_Dhubri,2,16410.0,2574.0
AS_Dhubri,3,33883.0,7468.0
AS_Dhubri,4,30031.0,18516.0
AS_Dhubri,5,21365.0,2160.0
AS_Dhubri,6,100035.0,15477.0
AS_Dhubri,7,123746.0,27685.0
AS_Dibrugarh,1,8478.0,224.0
AS_Dibrugarh,2,15944.0,6608.0
AS_Dibrugarh,3,43312.0,11433.0
AS_Dibrugarh,4,72686.0,17110.0
AS_Dibrugarh,5,90161.0,6247.0
AS_Dibrugarh,6,145220.0,37228.0
AS_Dibrugarh,7,180674.0,59666.0
AS_Dima Hasao,1,1056.0,75.0
AS_Dima Hasao,2,5296.0,744.0
AS_Dima Hasao,3,6750.0,2857.0
AS_Dima Hasao,4,11515.0,4268.0
AS_Dima Hasao,5,7568.0,2739.0
AS_Dima Hasao,6,36667.0,4432.0
AS_Dima Hasao,7,13632.0,6744.0
AS_Goalpara,1,4879.0,105.0
AS_Goalpara,2,9473.0,2922.0
AS_Goalpara,3,19879.0,4839.0
AS_Goalpara,4,29153.0,11577.0
AS_Goalpara,5,22421.0,2812.0
AS_Goalpara,6,82589.0,7996.0
AS_Goalpara,7,125075.0,23299.0
AS_Golaghat,1,4000.0,166.0
AS_Golaghat,2,11883.0,2534.0
AS_Golaghat,3,25740.0,6537.0
AS_Golaghat,4,41041.0,15634.0
AS_Golaghat,5,32479.0,2246.0
AS_Golaghat,6,149831.0,12219.0
AS_Golaghat,7,224441.0,49408.0
AS_Hailakandi,1,2940.0,66.0
AS_Hailakandi,2,6558.0,1950.0
AS_Hailakandi,3,15714.0,3385.0
AS_Hailakandi,4,24327.0,9028.0
AS_Hailakandi,5,27491.0,3562.0
AS_Hailakandi,6,69092.0,8895.0
AS_Hailakandi,7,89509.0,17045.0
AS_Hojai,1,2250.0,170.0
AS_Hojai,2,11324.0,1249.0
AS_Hojai,3,28791.0,3658.0
AS_Hojai,4,28014.0,14218.0
AS_Hojai,5,31368.0,13090.0
AS_Hojai,6,90062.0,16577.0
AS_Hojai,7,115206.0,19916.0
AS_Jorhat,1,4124.0,127.0
AS_Jorhat,2,14154.0,2886.0
AS_Jorhat,3,32476.0,7072.0
AS_Jorhat,4,49800.0,16611.0
AS_Jorhat,5,35598.0,5349.0
AS_Jorhat,6,119537.0,24545.0
AS_Jorhat,7,247376.0,43527.0
AS_Kamrup,1,5903.0,132.0
AS_Kamrup,2,15031.0,4141.0
AS_Kamrup,3,54751.0,7864.0
AS_Kamrup,4,94343.0,30781.0
AS_Kamrup,5,86033.0,8407.0
AS_Kamrup,6,89211.0,20774.0
AS_Kamrup,7,262708.0,72133.0
AS_Kamrup Metropolitan,1,12739.0,210.0
AS_Kamrup Metropolitan,2,32274.0,9155.0
AS_Kamrup Metropolitan,3,70592.0,17710.0
AS_Kamrup Metropolitan,4,183143.0,49807.0
AS_Kamrup Metropolitan,5,266274.0,26330.0
AS_Kamrup Metropolitan,6,264971.0,60368.0
AS_Kamrup Metropolitan,7,191915.0,148784.0
AS_Karbi Anglong,1,2334.0,77.0
AS_Karbi Anglong,2,8451.0,1345.0
AS_Karbi Anglong,3,15042.0,4143.0
AS_Karbi Anglong,4,19463.0,7584.0
AS_Karbi Anglong,5,14409.0,2559.0
AS_Karbi Anglong,6,38988.0,8934.0
AS_Karbi Anglong,7,51430.0,12608.0
AS_Karimganj,1,2891.0,46.0
AS_Karimganj,2,11696.0,1376.0
AS_Karimganj,3,22578.0,3676.0
AS_Karimganj,4,29533.0,14686.0
AS_Karimganj,5,31375.0,4968.0
AS_Karimganj,6,83443.0,10824.0
AS_Karimganj,7,102071.0,24923.0
AS_Kokrajhar,1,3453.0,88.0
AS_Kokrajhar,2,11327.0,2355.0
AS_Kokrajhar,3,12889.0,8278.0
AS_Kokrajhar,4,28414.0,7905.0
AS_Kokrajhar,5,24138.0,1420.0
AS_Kokrajhar,6,62287.0,7338.0
AS_Kokrajhar,7,118827.0,23804.0
AS_Lakhimpur,1,4823.0,202.0
AS_Lakhimpur,2,9547.0,2107.0
AS_Lakhimpur,3,23129.0,6037.0
AS_Lakhimpur,4,43442.0,17755.0
AS_Lakhimpur,5,31150.0,4096.0
AS_Lakhimpur,6,124802.0,10536.0
AS_Lakhimpur,7,200789.0,31154.0
AS_Majuli,1,1180.0,131.0
AS_Majuli,2,2423.0,736.0
AS_Majuli,3,10938.0,1582.0
AS_Majuli,4,13159.0,6563.0
AS_Majuli,5,12795.0,1395.0
AS_Majuli,6,32628.0,3721.0
AS_Majuli,7,29012.0,14244.0
AS_Morigaon,1,3595.0,115.0
AS_Morigaon,2,8618.0,1888.0
AS_Morigaon,3,24313.0,3619.0
AS_Morigaon,4,25401.0,10729.0
AS_Morigaon,5,29797.0,2858.0
AS_Morigaon,6,100224.0,10713.0
AS_Morigaon,7,161768.0,21254.0
AS_Nagaon,1,9023.0,288.0
AS_Nagaon,2,19050.0,4546.0
AS_Nagaon,3,48250.0,12298.0
AS_Nagaon,4,69226.0,21085.0
AS_Nagaon,5,72472.0,9888.0
AS_Nagaon,6,171516.0,25011.0
AS_Nagaon,7,217827.0,59156.0
AS_Nalbari,1,3408.0,166.0
AS_Nalbari,2,5340.0,2198.0
AS_Nalbari,3,16732.0,4301.0
AS_Nalbari,4,31088.0,7357.0
AS_Nalbari,5,27856.0,2749.0
AS_Nalbari,6,60985.0,9061.0
AS_Nalbari,7,121165.0,25523.0
AS_Sivasagar,1,3668.0,90.0
AS_Sivasagar,2,9627.0,2522.0
AS_Sivasagar,3,21921.0,5820.0
AS_Sivasagar,4,34207.0,12569.0
AS_Sivasagar,5,26606.0,3802.0
AS_Sivasagar,6,96220.0,14625.0
AS_Sivasagar,7,156616.0,26101.0
AS_Sonitpur,1,5381.0,53.0
AS_Sonitpur,2,14742.0,3267.0
AS_Sonitpur,3,28935.0,10424.0
AS_Sonitpur,4,65716.0,19776.0
AS_Sonitpur,5,51467.0,32868.0
AS_Sonitpur,6,188781.0,32936.0
AS_Sonitpur,7,214779.0,36257.0
AS_South Salmara Mankachar,1,539.0,22.0
AS_South Salmara Mankachar,2,1825.0,172.0
AS_South Salmara Mankachar,3,2935.0,848.0
AS_South Salmara Mankachar,4,3440.0,2033.0
AS_South Salmara Mankachar,5,9882.0,230.0
AS_South Salmara Mankachar,6,35009.0,1518.0
AS_South Salmara Mankachar,7,93479.0,3664.0
AS_Tinsukia,1,5007.0,119.0
AS_Tinsukia,2,10503.0,3302.0
AS_Tinsukia,3,34876.0,4857.0
AS_Tinsukia,4,36569.0,13737.0
AS_Tinsukia,5,71512.0,3320.0
AS_Tinsukia,6,117459.0,15650.0
AS_Tinsukia,7,126154.0,40938.0
AS_Udalguri,1,2236.0,41.0
AS_Udalguri,2,6124.0,1660.0
AS_Udalguri,3,17294.0,4898.0
AS_Udalguri,4,24067.0,8736.0
AS_Udalguri,5,21968.0,1728.0
AS_Udalguri,6,54897.0,5011.0
AS_Udalguri,7,95285.0,22424.0
AS_West Karbi Anglong,1,830.0,72.0
AS_West Karbi Anglong,2,2965.0,551.0
AS_West Karbi Anglong,3,5973.0,1472.0
AS_West Karbi Anglong,4,6819.0,4319.0
AS_West Karbi Anglong,5,7008.0,620.0
AS_West Karbi Anglong,6,24364.0,1862.0
AS_West Karbi Anglong,7,26243.0,4223.0
BR_Aurangabad,1,9099.0,145.0
BR_Aurangabad,2,10352.0,5373.0
BR_Aurangabad,3,49346.0,7236.0
BR_Aurangabad,4,50338.0,14059.0
BR_Aurangabad,5,77358.0,3840.0
BR_Aurangabad,6,147514.0,11867.0
BR_Aurangabad,7,197448.0,28843.0
BR_Banka,1,6791.0,50.0
BR_Banka,2,22748.0,3823.0
BR_Banka,3,78949.0,10930.0
BR_Banka,4,31958.0,22247.0
BR_Banka,5,47014.0,1114.0
BR_Banka,6,150291.0,11900.0
BR_Banka,7,149966.0,27678.0
